sourceName,sourceVersion,device,creationDate,startDate,endDate,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit
"Ziad’s Apple Watch","4.1",,2018-03-17 00:36:29 +0200,2018-03-16 21:39:19 +0200,2018-03-17 00:36:29 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",177.1628747661908,"min",0,"km",1770.240999999992,"kcal"
"Ziad’s Apple Watch","4.1",,2018-03-28 08:11:31 +0200,2018-03-28 07:27:10 +0200,2018-03-28 08:11:31 +0200,"HKWorkoutActivityTypeWalking",44.34888999859492,"min",3.205112696044962,"km",252.9810000000002,"kcal"
"Ziad’s Apple Watch","4.1",,2018-04-01 19:46:23 +0200,2018-04-01 18:18:38 +0200,2018-04-01 19:46:22 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",87.74117538332939,"min",0,"km",1444.69800000001,"kcal"
"Ziad’s Apple Watch","4.1",,2018-04-05 20:25:48 +0200,2018-04-05 19:16:20 +0200,2018-04-05 20:25:48 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",69.46172781586647,"min",0,"km",973.0529999999902,"kcal"
"Ziad’s Apple Watch","4.1",,2018-04-06 20:41:06 +0200,2018-04-06 19:37:54 +0200,2018-04-06 20:41:05 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",63.18575976689657,"min",0,"km",752.6199999999994,"kcal"
"Ziad’s Apple Watch","4.1",,2018-04-07 11:50:04 +0200,2018-04-07 11:08:06 +0200,2018-04-07 11:50:04 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",41.96622501611709,"min",0,"km",616.1449999999978,"kcal"
"Ziad’s Apple Watch","4.1",,2018-04-08 19:55:50 +0200,2018-04-08 19:12:14 +0200,2018-04-08 19:55:50 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",43.60340346693992,"min",0,"km",509.7990000000004,"kcal"
"Ziad’s Apple Watch","4.1",,2018-04-13 22:03:59 +0200,2018-04-13 21:06:00 +0200,2018-04-13 22:03:59 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",57.97551683386167,"min",0,"km",767.2340000000025,"kcal"
"Ziad’s Apple Watch","4.1",,2018-04-17 22:36:12 +0200,2018-04-17 21:52:36 +0200,2018-04-17 22:36:11 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",43.58355478247007,"min",0,"km",647.0799999999948,"kcal"
"Ziad’s Apple Watch","4.1",,2018-04-20 22:05:40 +0200,2018-04-20 21:01:51 +0200,2018-04-20 22:05:40 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",63.80558394988378,"min",0,"km",1059.970999999999,"kcal"
"Ziad’s Apple Watch","4.1",,2018-04-21 11:50:05 +0200,2018-04-21 11:05:47 +0200,2018-04-21 11:50:04 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",44.28419853448868,"min",0,"km",630.1260000000003,"kcal"
"Ziad’s Apple Watch","4.1",,2018-04-23 22:02:18 +0200,2018-04-23 21:02:29 +0200,2018-04-23 22:02:17 +0200,"HKWorkoutActivityTypeTraditionalStrengthTraining",59.79791983366012,"min",0,"km",448.3350000000009,"kcal"
"Ziad’s Apple Watch","4.1",,2018-04-27 22:02:34 +0200,2018-04-27 20:53:26 +0200,2018-04-27 22:02:34 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",69.12028984824816,"min",0,"km",1001.200999999994,"kcal"
"Ziad’s Apple Watch","4.1",,2018-04-29 20:05:29 +0200,2018-04-29 19:22:23 +0200,2018-04-29 20:05:29 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",43.09969421823819,"min",0,"km",677.1720000000009,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-01 20:23:11 +0200,2018-05-01 19:43:57 +0200,2018-05-01 20:23:11 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",39.22436629931132,"min",0,"km",531.2029999999996,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-05 12:48:27 +0200,2018-05-05 12:32:22 +0200,2018-05-05 12:48:27 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",15.63584923346837,"min",0,"km",178.2169999999998,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-05 13:15:13 +0200,2018-05-05 12:48:27 +0200,2018-05-05 13:15:13 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",26.75709699988365,"min",0,"km",355.2809999999994,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-06 19:26:10 +0200,2018-05-06 18:35:09 +0200,2018-05-06 19:26:10 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",51.01303513248762,"min",0,"km",776.2270000000015,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-08 20:43:45 +0200,2018-05-08 19:35:29 +0200,2018-05-08 20:43:44 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",68.25359586675962,"min",0,"km",1045.855999999995,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-12 13:24:11 +0200,2018-05-12 12:35:44 +0200,2018-05-12 13:24:11 +0200,"HKWorkoutActivityTypeCycling",48.43554706772169,"min",0,"km",610.1259999999992,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-13 20:39:44 +0200,2018-05-13 19:16:35 +0200,2018-05-13 20:39:43 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",83.13100841641426,"min",0,"km",1239.204,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-14 22:06:00 +0200,2018-05-14 21:02:54 +0200,2018-05-14 22:05:59 +0200,"HKWorkoutActivityTypeTraditionalStrengthTraining",63.08571435014407,"min",0,"km",367.0879999999999,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-16 20:31:56 +0200,2018-05-16 19:46:53 +0200,2018-05-16 20:31:56 +0200,"HKWorkoutActivityTypeCycling",45.05381981730461,"min",0,"km",398.3679999999993,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-18 22:00:21 +0200,2018-05-18 20:43:32 +0200,2018-05-18 22:00:21 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",76.80299168427786,"min",0,"km",1166.194999999997,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-19 11:46:00 +0200,2018-05-19 11:06:18 +0200,2018-05-19 11:46:00 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",39.69770574967067,"min",0,"km",583.5439999999983,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-21 21:49:52 +0200,2018-05-21 20:58:41 +0200,2018-05-21 21:49:52 +0200,"HKWorkoutActivityTypeCycling",51.17185630003611,"min",0,"km",624.3570000000005,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-24 22:32:56 +0200,2018-05-24 21:48:07 +0200,2018-05-24 22:32:56 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",44.81150229970614,"min",0,"km",545.3589999999982,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-24 22:41:37 +0200,2018-05-24 22:33:10 +0200,2018-05-24 22:41:37 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",8.455398766199748,"min",0,"km",75.58400000000007,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-26 11:46:35 +0200,2018-05-26 11:02:31 +0200,2018-05-26 11:46:35 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",44.06800768375397,"min",0,"km",667.8269999999992,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-27 13:26:53 +0200,2018-05-27 12:36:59 +0200,2018-05-27 13:26:53 +0200,"HKWorkoutActivityTypeCycling",49.90278521577518,"min",0,"km",522.8339999999985,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-29 21:50:17 +0200,2018-05-29 20:38:57 +0200,2018-05-29 21:50:17 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",71.33800923426946,"min",0,"km",1165.819999999999,"kcal"
"Ziad’s Apple Watch","4.1",,2018-05-30 21:50:26 +0200,2018-05-30 21:06:57 +0200,2018-05-30 21:50:26 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",43.48348856568337,"min",0,"km",576.0209999999984,"kcal"
"Ziad’s Apple Watch","4.1",,2018-06-05 13:35:34 +0200,2018-06-05 12:43:15 +0200,2018-06-05 13:35:34 +0200,"HKWorkoutActivityTypeCycling",52.31242053508758,"min",0,"km",508.727999999998,"kcal"
"Ziad’s Apple Watch","4.1",,2018-06-06 21:02:16 +0200,2018-06-06 19:44:28 +0200,2018-06-06 21:02:16 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",77.8029504497846,"min",0,"km",770.9949999999993,"kcal"
"Ziad’s Apple Watch","4.1",,2018-06-07 20:38:25 +0200,2018-06-07 19:48:08 +0200,2018-06-07 20:38:24 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",50.26615851720174,"min",0,"km",390.9519999999968,"kcal"
"Ziad’s Apple Watch","4.1",,2018-06-08 23:03:30 +0200,2018-06-08 21:19:58 +0200,2018-06-08 23:03:30 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",103.5378123482068,"min",0,"km",1354.50900000001,"kcal"
"Ziad’s Apple Watch","4.1",,2018-06-10 01:04:11 +0200,2018-06-10 00:20:38 +0200,2018-06-10 01:04:11 +0200,"HKWorkoutActivityTypeWalking",43.5550652662913,"min",2.354593513016356,"km",165.3059999999998,"kcal"
"Ziad’s Apple Watch","4.1",,2018-06-11 22:36:48 +0200,2018-06-11 21:01:29 +0200,2018-06-11 22:36:48 +0200,"HKWorkoutActivityTypeCycling",52.6029028515021,"min",0,"km",625.060000000001,"kcal"
"Ziad’s Apple Watch","4.1",,2018-06-12 22:39:18 +0200,2018-06-12 21:35:24 +0200,2018-06-12 22:39:18 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",55.40035981734594,"min",0,"km",792.5690000000021,"kcal"
"Ziad’s Apple Watch","4.1",,2018-06-13 09:46:54 +0200,2018-06-13 09:33:02 +0200,2018-06-13 09:46:53 +0200,"HKWorkoutActivityTypeWalking",13.86055373350779,"min",0.9474384340376127,"km",66.96899999999994,"kcal"
"Ziad’s Apple Watch","4.1",,2018-06-13 23:20:19 +0200,2018-06-13 22:36:10 +0200,2018-06-13 23:20:19 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",44.13987874984741,"min",0,"km",654.1729999999999,"kcal"
"Ziad’s Apple Watch","4.1",,2018-06-15 21:29:37 +0200,2018-06-15 21:21:43 +0200,2018-06-15 21:29:37 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",7.890923166275025,"min",0,"km",96.97099999999993,"kcal"
"Ziad’s Apple Watch","4.1",,2018-06-15 21:46:20 +0200,2018-06-15 21:33:09 +0200,2018-06-15 21:46:20 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",13.18187955021858,"min",0,"km",195.9990000000002,"kcal"
"Ziad’s Apple Watch","4.1",,2018-06-16 10:21:03 +0200,2018-06-16 10:03:42 +0200,2018-06-16 10:21:02 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",17.33625618219376,"min",0,"km",237.4679999999998,"kcal"
"Ziad’s Apple Watch","4.1",,2018-06-17 14:40:14 +0200,2018-06-17 12:04:14 +0200,2018-06-17 12:24:30 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",20.25469431678454,"min",0,"km",269.402000000001,"kcal"
"Ziad’s Apple Watch","4.1",,2018-06-28 20:10:40 +0200,2018-06-28 19:21:32 +0200,2018-06-28 20:10:39 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",49.12381953398387,"min",0,"km",786.3009999999991,"kcal"
"Ziad’s Apple Watch","4.1",,2018-06-29 22:05:45 +0200,2018-06-29 21:15:21 +0200,2018-06-29 22:05:45 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",50.38755360047023,"min",0,"km",741.8409999999972,"kcal"
